Time (s);Magnetic Field x (µT);Magnetic Field y (µT);Magnetic Field z (µT);Absolute field (µT)
0,000398708;-26,1397686;43,46382141;7,7853508;51,3127953
0,010462708;-25,77855492;43,32262802;7,661121368;50,99094795
0,020526708;-26,057024;43,55483246;7,737129211;51,34057945
0,030590708;-26,13813591;43,32747269;7,552940369;51,16169413
0,040654708;-26,48339653;43,5110054;7,558254242;51,49470934
0,050718708;-25,91943169;43,22031403;7,381563187;50,93427096
0,060781708;-26,18872643;43,49498367;7,478574753;51,31853541
0,070845708;-25,55517769;43,23830795;7,644807816;50,80414814
0,080909708;-26,07112694;43,54973984;8,033473969;51,38891129
0,090973708;-25,84403419;43,39538574;7,332738876;51,0376593
0,101037708;-26,24775124;43,70006561;7,507425308;51,52670778
0,111101708;-25,97386742;43,38188553;7,736755371;51,1516096
0,121165708;-26,2325573;43,88394928;7,645206451;51,69523429
0,131229708;-25,84547234;43,65865326;7,330770493;51,26213652
0,141292708;-26,34721184;43,8625946;7,528064728;51,71822247
0,151356708;-25,8880291;43,30086517;7,419471741;50,99219093
0,161420708;-26,2308445;43,34010696;7,566616058;51,22182887
0,171484708;-25,87131691;43,28263855;7,451293945;50,97287141
0,181548708;-25,80475044;43,23387909;7,111877441;50,84911255
0,191612708;-26,06437111;43,31833649;7,480611801;51,10566769
0,201676708;-25,89420128;43,47184753;7,46072197;51,14658894
0,211740708;-26,27462578;43,7169075;7,739313126;51,58896131
0,221804708;-25,93623924;43,6155777;7,688756943;51,32371876
0,231867708;-26,38611031;43,76065063;7,586057663;51,66013581
0,241931708;-26,20919991;43,56116486;7,360776901;51,36806673
0,251995708;-26,25981331;43,78005219;7,254840851;51,56455643
0,262059708;-25,89883614;43,33201599;7,167251587;50,98806545
0,272123708;-26,19312477;43,4398613;7,270038605;51,24407084
0,282187708;-25,92429543;43,27797318;7,723882675;51,03636369
0,292251708;-26,31341743;43,40872955;7,700498581;51,3421018
0,302315708;-25,89888954;43,54717636;7,421588898;51,20731423
0,312378708;-26,31704903;43,64766693;7,566368103;51,52626344
0,322442708;-26,17821312;43,66545105;7,302776337;51,43248973
0,332506708;-26,34758949;43,69543076;7,410293579;51,55966051
0,342570708;-25,88866997;43,50196457;7,441068649;51,16652868
0,352634708;-26,27435112;43,59593964;7,461769104;51,44536401
0,362698708;-26,05529594;43,34605026;7,297088623;51,09800409
0,372762708;-26,33600807;43,64261246;7,449893951;51,5146956
0,382826708;-26,04087257;43,57437897;7,327133179;51,28879436
0,392889708;-26,35979271;43,66348648;7,527837753;51,55586353
0,402953708;-26,06562996;43,25147629;7,284736633;51,02131568
0,413017708;-26,44641685;43,52249527;7,23812294;51,43939135
0,423081708;-26,28854179;43,57285309;7,243719101;51,40187178
0,433145708;-26,56624031;43,63438797;7,463783264;51,62783163
0,443209708;-25,99648476;43,46982193;7,297159195;51,17314892
0,453273708;-26,28177452;43,51625061;7,705097198;51,41754819
0,463337708;-25,92523003;43,20393753;7,619264603;50,95832575
0,473400708;-26,35082054;43,30038452;8,027076721;51,31981102
0,483464708;-25,96652412;43,47527313;7,442762375;51,18353701
0,493528708;-26,4292469;43,48174667;7,468790054;51,42907942
0,503592708;-26,01398659;43,25798798;7,702278137;51,06178718
0,513656708;-26,37380028;43,54151917;7,746124268;51,49217099
0,523720708;-26,15997887;43,15402985;7,892673492;51,07748115
0,533784708;-26,30809975;43,23186111;7,775108337;51,20119371
0,543848708;-25,85972404;43,27158737;7,562843323;50,97403457
0,553912708;-26,17367744;43,5045433;7,864362717;51,37659856
0,563975708;-25,93815041;43,3901825;7,957021713;51,17430779
0,574039708;-26,13888359;43,47524643;7,885368347;51,33728977
0,584103708;-25,80793953;43,43183136;7,733327866;51,10947151
0,594167708;-26,2317791;43,60877991;7,655080795;51,46292045
0,604231708;-25,96978188;43,3988266;7,394863129;51,11332235
0,614295708;-26,11715889;43,39021301;7,513208389;51,19828976
0,624359708;-25,80789375;43,29046631;7,575447083;50,96566738
0,634423708;-26,2296505;43,65845108;7,60836792;51,49701135
0,644486708;-26,01810265;43,37391663;7,050071716;51,06801171
0,654550708;-26,10408974;43,51271057;7,465497971;51,28852837
0,664614708;-25,89447975;43,09259033;7,437381744;50,82135447
0,674678708;-25,86463356;43,41041565;7,898036957;51,14511163
0,684742708;-25,79566765;43,5034256;7,796228409;51,17368157
0,694806708;-25,92924309;43,39905548;8,096206665;51,19914283
0,704870708;-25,83107185;43,20662689;8,013454437;50,97325115
0,714933708;-26,33926964;43,12609863;8,048171997;51,17021185
0,724997708;-25,92663765;43,04518509;7,791387558;50,85060687
0,735061708;-26,14140511;43,1468811;7,898973465;51,06290426
0,745125708;-26,18558693;42,99871063;7,682674408;50,9273754
0,755189708;-26,29813194;43,43757629;7,866811752;51,38386425
0,765253708;-25,92391396;43,28003311;7,714576721;51,03650924
0,775317708;-26,26484108;43,39512253;7,931257248;51,34085486
0,785381708;-25,63987923;42,9948082;7,804428101;50,66424811
0,795445708;-25,72151375;43,3319664;8,118297577;51,04079091
0,805508708;-25,48073387;43,32330704;7,70382309;50,84806409
0,815572708;-26,00819588;43,45903778;7,829723358;51,24859789
0,825636708;-26,01091957;43,21491241;7,792963028;51,03750449
0,835700708;-26,06053352;43,14079285;8,015645981;51,03459606
0,845764708;-25,63042641;43,12988281;7,838609695;50,77941858
0,855828708;-26,00134087;43,29561615;7,927915573;51,12173657
0,865892708;-25,60494423;43,06170654;7,795955658;50,70207751
0,875956708;-25,99083519;43,60305786;7,746294022;51,34934508
0,886019708;-25,61159325;43,28895569;7,379430771;50,83643764
0,896083708;-26,07005501;43,4434967;7,70747757;51,2483208
0,906147708;-25,89449883;43,28829956;7,38293457;50,97950246
0,916211708;-26,08501244;43,21346283;7,759233475;51,06894308
0,926275708;-25,99926949;43,01616669;7,752128601;50,85713429
0,936339708;-26,1818676;43,37630844;7,96412468;51,287636
0,946403708;-25,81868935;43,30930328;7,745513916;51,01267937
