Time (s) Run 1;X Magnetic Field Strength (G) Run 1;Y Magnetic Field Strength (G) Run 1;Z Magnetic Field Strength (G) Run 1;|Resultant| Magnetic Field Strength (G) Run 1;;
0;-42,1;4,8;-7,2;43;;100
0,01;-42,8;3,6;-10;44,1;         ;
0,02;-42,3;5,85;-8,1;43,5;;
0,03;-41,2;5,1;-10;42,8;        ;
0,04;-43;5,1;-8,1;44,1;;
0,05;-41,5;3,9;-7,35;42,4;;
0,06;-42,8;4,35;-8,1;43,7;;
0,07;-42,9;4,5;-9,45;44,2;;
0,08;-42,4;6;-8,25;43,7;;
0,09;-41,5;5,85;-8,55;42,8;;
0,1;-42,3;4,65;-10;43,7;          ;
0,11;-42,4;4,2;-9,75;43,8;;
0,12;-43,2;4,5;-7,95;44,2;;
0,13;-42,4;4,8;-9;43,7;;
0,14;-42,9;4,2;-9;44;;
0,15;-44,7;6;-8,7;45,9;;
0,16;-43,7;4,8;-8,25;44,7;;
0,17;-43;5,4;-9,6;44,4;;
0,18;-42,9;5,25;-8,25;44;;
0,19;-42,1;5,55;-7,95;43,3;;
0,2;-42;6,9;-8,1;43,3;;
0,21;-42,3;4,65;-8,85;43,5;;
0,22;-42,3;5,4;-8,55;43,5;;
0,23;-42,4;3,45;-8,25;43,4;;
0,24;-42,8;4,35;-8,55;43,8;;
0,25;-43,5;5,85;-7,8;44,6;;
0,26;-41,4;4,8;-7,95;42,4;;
0,27;-41,5;4,35;-8,85;42,7;;
0,28;-42;4,65;-7,8;43;;
0,29;-42,9;3,45;-7,5;43,7;;
0,3;-42,1;4,8;-8,7;43,3;;
0,31;-42,3;4,65;-10,3;43,8;          ;
0,32;-42,9;4,8;-7,5;43,8;;
0,33;-43,7;3,75;-7,95;44,5;;
0,34;-44,1;6,15;-7,8;45,2;;
0,35;-42;5,4;-8,85;43,3;;
0,36;-43,5;5,1;-7,05;44,4;;
0,37;-42,1;5,25;-9;43,4;;
0,38;-41,4;4,2;-7,5;42,3;;
0,39;-43,2;4,2;-9;44,3;;
0,4;-43;5,1;-8,85;44,2;;
0,41;-43;3,9;-8,85;44,1;;
0,42;-42,4;5,25;-7,5;43,4;;
0,43;-43,7;5,55;-9,45;45;;
0,44;-40,9;4,65;-8,85;42,2;;
0,45;-44,9;5,1;-8,55;45,9;;
0,46;-42,1;5,55;-8,25;43,3;;
0,47;-42,4;4,8;-7,5;43,4;;
0,48;-42,1;3;-7,95;43;;
0,49;-42,3;5,85;-8,55;43,6;;
0,5;-41,9;5,55;-7,95;43;;
0,51;-42,9;4,2;-8,7;44;;
0,52;-42,8;5,1;-8,55;43,9;;
0,53;-42,8;4,65;-8,85;43,9;;
0,54;-42,9;5,25;-7,5;43,9;;
0,55;-42,8;4,65;-8,55;43,8;;
0,56;-41,5;5,1;-7,8;42,6;;
0,57;-42,3;5,1;-8,55;43,5;;
0,58;-42,3;5,1;-6,6;43,1;;
0,59;-42,4;4,2;-8,25;43,4;;
0,6;-42;4,35;-8,1;43;;
0,61;-43;4,65;-8,85;44,2;;
0,62;-41,9;4,8;-7,5;42,8;;
0,63;-42,8;5,4;-7,8;43,8;;
0,64;-42,9;3,45;-7,95;43,8;;
0,65;-43;4,65;-8,1;44,1;;
0,66;-43,7;4,8;-7,95;44,6;;
