Time (s);Magnetic Field x (µT);Magnetic Field y (µT);Magnetic Field z (µT);Absolute field (µT)
0,015573708;-50,23840332;-33,57607269;1,761901855;60,45125411
0,025505708;-50,18231201;-33,31191254;2,017700195;60,26623491
0,035437708;-50,30844116;-33,18692017;2,020126343;60,30250271
0,045368708;-50,27264404;-33,14175415;1,656295776;60,23668254
0,055300708;-50,37893677;-33,14159393;2,206207275;60,34293553
0,065232708;-50,14569092;-32,97561646;1,655288696;60,0393336
0,075163708;-50,33969116;-33,26346588;2,121231079;60,37418563
0,085095708;-50,21261597;-33,12463379;2,043426514;60,18906676
0,095027708;-50,1817627;-33,24513245;2,425796509;60,24394266
0,104958708;-50,08596802;-33,12123108;2,086303711;60,08304922
0,114890708;-50,22344971;-33,24234009;2,476379395;60,2791882
0,124822708;-50,27947998;-33,13648224;2,826568604;60,28301628
0,134753708;-50,46679688;-33,19456482;2,578384399;60,46010905
0,144685708;-50,53085327;-33,01395416;2,332168579;60,40469611
0,154617708;-50,29916382;-33,04750824;2,615097046;60,24103597
0,164549708;-50,2706604;-32,88730621;1,991088867;60,10556249
0,174480708;-50,19683838;-33,02120209;2,644821167;60,14247625
0,184412708;-50,29220581;-32,77685547;2,296234131;60,07412847
0,194345208;-50,5763855;-32,87164307;2,457687378;60,37015749
0,204276208;-50,23974609;-32,49337769;2,065567017;59,86750578
0,214208208;-50,44894409;-32,96656036;2,107116699;60,30199004
0,224140208;-50,2492981;-33,03432465;2,173034668;60,1745847
0,234071208;-50,50241089;-33,10742188;2,11555481;60,42408842
0,244003208;-50,33352661;-33,0304184;2,30557251;60,24772282
0,253935208;-50,44287109;-33,17703247;2,299835205;60,4192682
0,263866208;-50,56488037;-32,63074493;2,705368042;60,24028269
0,273798208;-50,50753784;-32,90161133;2,625213623;60,33588612
0,283730208;-50,25253296;-32,60772705;2,333557129;59,95019951
0,293662208;-50,42248535;-32,73509216;2,227874756;60,15793143
0,303593208;-50,30502319;-32,61963654;1,726928711;59,98014946
0,313525208;-50,60421753;-32,81274414;2,007736206;60,34479277
0,323457208;-50,22631836;-32,76017761;2,19569397;60,00611106
0,333388208;-50,18960571;-32,96114349;2,548995972;60,09934178
0,343320208;-50,10848999;-32,78251648;2,166732788;59,91868562
0,353252208;-50,3548584;-32,8820343;2,5284729;60,19329796
0,363183208;-50,32244873;-32,65537262;2,499267578;60,04139027
0,373115208;-50,64413452;-32,91267395;2,096115112;60,43563656
0,383047208;-50,34902954;-32,80935669;1,826568604;60,1233317
0,392978208;-50,23501587;-32,83343506;2,022186279;60,04731896
0,402910208;-50,19607544;-32,8894043;1,971160889;60,04368726
0,412842208;-50,36993408;-33,01773071;2,236740112;60,26859719
0,422774208;-50,16967773;-32,88200378;2,06048584;60,02056596
0,432705208;-50,35293579;-33,26696014;1,704544067;60,37395341
0,442637208;-50,12896729;-33,04464722;1,617202759;60,06227947
0,452569208;-50,09820557;-33,10874176;2,155792236;60,08882111
0,462500208;-50,06387329;-32,90573883;1,812332153;59,9371638
0,472432208;-50,40771484;-32,89388275;1,66394043;60,21390152
0,482364208;-50,1864624;-32,9072876;1,706268311;60,03733786
0,492295208;-50,43258667;-33,10204315;1,854492188;60,35420615
0,502227208;-50,17489624;-32,77142334;1,535629272;59,9486827
0,512159208;-50,20233154;-32,98854828;1,800491333;60,09792159
0,522090208;-50,11334229;-32,74198914;1,918640137;59,89212058
0,532022208;-50,1756897;-32,84021759;2,127319336;60,00504325
0,541954208;-50,16116333;-32,80329132;1,95274353;59,96675275
0,551886208;-50,26733398;-32,85027313;2,364807129;60,09606995
0,561817208;-50,17034912;-32,65162659;2,379714966;59,90705879
0,571749208;-50,59396362;-33,19441986;2,217468262;60,55192673
0,581681208;-50,31069946;-33,31257629;2,154525757;60,3782759
0,591612208;-50,36587524;-33,60444641;1,851165771;60,5756306
0,601544208;-50,19320679;-32,97059631;2,103088379;60,0902755
0,611476208;-50,21676636;-33,18660736;2,382019043;60,23909483
0,621407208;-50,22036743;-32,7637558;2,084197998;59,99910733
0,631339208;-50,22036743;-32,7637558;2,084197998;59,99910733
0,641271208;-50,49700928;-33,00456238;2,444610596;60,37570045
0,651202208;-50,19622803;-32,86672211;2,502807617;60,05120129
0,661134208;-50,42254639;-32,96639252;2,664840698;60,30188716
0,671066208;-50,34310913;-32,79438019;2,151611328;60,12095675
0,680998208;-50,49359131;-33,02170563;2,478302002;60,38358872
0,690929208;-50,2019043;-32,89573669;2,22694397;60,06096875
0,700861208;-50,36245728;-33,12499237;2,718948364;60,34098858
0,710793208;-50,27191162;-33,00999451;2,320648193;60,18563154
0,720724208;-50,61914063;-33,17960358;1,898239136;60,55399907
0,730656208;-50,2484436;-32,95587921;1,949615479;60,12318238
0,740588208;-50,2991333;-33,01319885;2,358352661;60,21159304
0,750519208;-50,32531738;-32,88222504;2,04486084;60,15030963
0,760451208;-50,46011353;-33,20826721;2,524276733;60,45977209
0,770383208;-50,17242432;-33,02033234;2,331802368;60,10866669
0,780314208;-50,40930176;-33,33351135;2,67729187;60,49288036
0,790246208;-50,23779297;-32,91095734;2,267868042;60,10083344
0,800178208;-50,0920105;-33,18916321;2,03843689;60,12391617
0,810110208;-50,22109985;-32,82563019;1,625;60,01934265
0,820041208;-50,29434204;-33,1121521;2,161560059;60,25452514
0,829973208;-50,12661743;-32,96175385;2,204925537;60,03346307
0,839905208;-50,38290405;-33,13143921;2,82434082;60,36643261
0,849836208;-50,18786621;-32,63414764;2,399200439;59,91298415
0,859768208;-50,08596802;-33,00847626;2,429321289;60,03386793
0,869700208;-50,14892578;-32,90209961;2,517745972;60,03167464
0,879631208;-50,48602295;-32,99026489;2,291503906;60,3526891
0,889563208;-50,31686401;-32,8420105;2,495834351;60,13828769
0,899495208;-50,38638306;-33,22866058;2,557235718;60,41085115
0,909426208;-50,3140564;-32,88652802;2,239105225;60,15015867
0,919358208;-50,23669434;-33,16007233;2,05909729;60,22919339
0,929290208;-50,25006104;-32,78392029;2,156082153;60,03751122
0,939221208;-50,43405151;-33,02990723;2,194442749;60,32730644
0,949153208;-50,09359741;-32,72846985;2,149810791;59,87606305
0,959085208;-50,30664063;-33,21123505;2,710891724;60,3414713
